"","YearMonth","ELN_HRV"
"184","2005-04",0
"185","2005-05",0
"186","2005-06",0
"187","2005-07",0
"188","2005-08",0
"189","2005-09",0
"190","2005-10",0
"191","2005-11",0
"192","2005-12",0
"193","2006-01",0
"194","2006-02",0
"195","2006-03",0
"196","2006-04",0
"197","2006-05",0
"198","2006-06",0
"199","2006-07",0
"200","2006-08",0
"201","2006-09",1
"202","2006-10",0
"203","2006-11",0
"204","2006-12",0
"205","2007-01",0
"206","2007-02",0
"207","2007-03",0
"208","2007-04",0
"209","2007-05",0
"210","2007-06",0
"211","2007-07",0
"212","2007-08",0
"213","2007-09",0
"214","2007-10",0
"215","2007-11",0
"216","2007-12",0
"217","2008-01",0
"218","2008-02",0
"219","2008-03",0
"220","2008-04",0
"221","2008-05",0
"222","2008-06",0
"223","2008-07",0
"224","2008-08",1
"225","2008-09",0
"226","2008-10",0
"227","2008-11",0
"228","2008-12",1
"229","2009-01",0
"230","2009-02",1
"231","2009-03",0
"232","2009-04",0
"233","2009-05",0
"234","2009-06",0
"235","2009-07",0
"236","2009-08",0
"237","2009-09",0
"238","2009-10",1
"239","2009-11",0
"240","2009-12",0
"241","2010-01",0
"242","2010-02",0
"243","2010-03",0
"244","2010-04",0
"245","2010-05",0
"246","2010-06",0
"247","2010-07",0
"248","2010-08",1
"249","2010-09",0
"250","2010-10",0
"251","2010-11",1
"252","2010-12",0
"253","2011-01",1
"254","2011-02",0
"255","2011-03",1
"256","2011-04",0
"257","2011-05",2
"258","2011-06",0
"259","2011-07",0
"260","2011-08",1
"261","2011-09",1
"262","2011-10",0
"263","2011-11",0
"264","2011-12",0
"265","2012-01",2
"266","2012-02",3
"267","2012-03",3
"268","2012-04",4
"269","2012-05",2
"270","2012-06",0
"271","2012-07",2
"272","2012-08",2
"273","2012-09",1
"274","2012-10",2
"275","2012-11",5
"276","2012-12",2
"277","2013-01",2
"278","2013-02",0
"279","2013-03",3
"280","2013-04",0
"281","2013-05",0
"282","2013-06",0
"283","2013-07",1
"284","2013-08",0
"285","2013-09",0
"286","2013-10",1
"287","2013-11",0
"288","2013-12",0
"289","2014-01",0
"290","2014-02",4
"291","2014-03",1
"292","2014-04",1
"293","2014-05",1
"294","2014-06",0
"295","2014-07",0
"296","2014-08",0
"297","2014-09",0
"298","2014-10",0
"299","2014-11",0
"300","2014-12",0
"301","2015-01",1
"302","2015-02",0
"303","2015-03",0
"304","2015-04",0
"305","2015-05",0
"306","2015-06",0
"307","2015-07",0
"308","2015-08",0
"309","2015-09",0
"310","2015-10",0
"311","2015-11",0
"312","2015-12",0
